Plate,sample_well,Name,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,TaNorm
GEP1,H11,OT323,21.68,22.83,24.515,NaN,24.735,0.311002913324617,0,0.267016352011963,11,H,3,323,300323,2014-03-11,None,Otane,16,1.06032906764168
GEP1,H12,CRWT223,22.5233333333333,22.5866666666667,NaN,33.55,NaN,0,0.000500850156950205,0,12,H,3,223,300223,2014-03-11,None,CRWT153,16,1.06032906764168
GEP1,H2,SCN291,22.7266666666667,23.5633333333333,31.4,30.295,NaN,0.00437449845330765,0.0094094970951937,0,2,H,3,291,300291,2014-02-04,None,Saracen,16,1.06032906764168
GEP1,H3,BW52,20.45,21.05,NaN,29.37,NaN,0,0.00312917920933446,0,3,H,3,52,300052,2014-02-11,None,Batten Win,16,1.06032906764168
GEP1,H4,BS297,20.34,21.375,23.835,29.51,32.565,0.181746564665039,0.00355730403746867,0.000428030137361346,4,H,3,297,300297,2014-02-11,None,Batten Spr,16,1.06032906764168
GEP1,H5,BS108,21.85,22.645,24.8133333333333,32.17,31.695,0.222467526461689,0.00135734201156478,0.00188659439243134,5,H,3,108,300108,2014-02-18,None,Batten Spr,16,1.06032906764168
GEP1,H6,CRWT230,21.745,22.95,NaN,29.55,NaN,0,0.0103086555529132,0,6,H,3,230,300230,2014-02-18,None,CRWT153,16,1.06032906764168
GEP1,H7,BW120,23.795,24.51,NaN,31.295,NaN,0,0.00906799933112279,0,7,H,3,120,300120,2014-02-25,None,Batten Win,16,1.06032906764168
GEP1,H8,OT202,23.87,23.65,23.19,NaN,27.43,1.37554181813974,0,0.0727958491542784,8,H,3,202,300202,2014-02-25,None,Otane,16,1.06032906764168
GEP1,H9,BS168,23.88,23.725,24.8833333333333,NaN,30.175,0.448029820955977,0,0.0114381694995752,9,H,3,168,300168,2014-03-04,None,Batten Spr,16,1.06032906764168
GEP2,A1,BW317,24.61,26.605,NaN,32.63,NaN,0,0.0153565718522696,0,1,A,3,317,300317,2014-03-11,None,Batten Win,16,0.989761092150171
GEP2,A10,BW174,27.665,28.435,NaN,NaN,NaN,0,0,0,10,A,3,174,300174,2014-04-23,None,Batten Win,16,0.989761092150171
GEP2,A11,BW115,24.185,26.5,28.92,NaN,NaN,0.186856156079367,0,0,11,A,3,115,300115,2014-05-16,Full,Batten Win,16,0.989761092150171
GEP2,A12,BW218,24.085,25.9,28.845,33.425,32.215,0.129857387912208,0.00542936804625913,0.0125601717303617,12,A,3,218,300218,2014-05-16,Full,Batten Win,16,0.989761092150171
GEP2,A2,AMK17,26.66,27.97,NaN,NaN,NaN,0,0,0,2,A,3,17,300017,2014-03-18,None,Amarok,16,0.989761092150171
GEP2,A4,AMK19,24.835,26.76,NaN,NaN,NaN,0,0,0,4,A,3,19,300019,2014-03-25,None,Amarok,16,0.989761092150171
GEP2,A7,BW33,NaN,26.72,NaN,NaN,NaN,0,0,0,7,A,3,33,300033,2014-04-09,None,Batten Win,16,0.989761092150171
GEP2,A9,CRWT12,25.7,27.415,NaN,NaN,NaN,0,0,0,9,A,3,12,300012,2014-04-23,None,CRWT153,16,0.989761092150171
