Plate,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,sample_well
GEP2,9,E,3,12,300012,2014-04-23,None,CRWT153,16,E9
GEP2,1,F,3,192,300192,2014-03-11,None,Batten Win,16,F1
GEP2,10,F,3,45,300045,2014-05-16,Full,CRWT153,16,F10
GEP2,11,F,3,308,300308,2014-05-16,Full,CRWT153,16,F11
GEP2,12,F,3,25,300025,2014-05-16,Full,Batten Win,16,F12
GEP2,2,F,3,170,300170,2014-03-18,None,Saracen,16,F2
GEP2,3,F,3,206,300206,2014-03-18,None,Batten Win,16,F3
GEP2,4,F,3,47,300047,2014-03-25,None,Batten Win,16,F4
GEP2,5,F,3,33,300033,2014-04-01,None,Batten Win,16,F5
GEP2,6,F,3,310,300310,2014-04-01,None,Saracen,16,F6
GEP2,7,F,3,279,300279,2014-04-09,None,Batten Win,16,F7
GEP2,8,F,3,333,300333,2014-04-23,None,CRWT153,16,F8
GEP2,9,F,3,156,300156,2014-04-23,None,Batten Win,16,F9
GEP2,1,G,3,264,300264,2014-03-11,None,Batten Spr,16,G1
GEP2,10,G,3,329,300329,2014-05-16,Full,Batten Spr,16,G10
GEP2,11,G,3,245,300245,2014-05-16,Full,Amarok,16,G11
GEP2,12,G,3,49,300049,2014-05-16,Full,Otane,16,G12
GEP2,2,G,3,191,300191,2014-03-18,None,Amarok,16,G2
GEP2,3,G,3,81,300081,2014-03-25,None,Batten Spr,16,G3
GEP2,4,G,3,232,300232,2014-03-25,None,CRWT153,16,G4
GEP2,5,G,3,151,300151,2014-04-01,None,CRWT153,16,G5
GEP2,6,G,3,271,300271,2014-04-01,None,CRWT153,16,G6
GEP2,7,G,3,310,300310,2014-04-09,None,Saracen,16,G7
GEP2,8,G,3,293,300293,2014-04-23,None,Amarok,16,G8
GEP2,9,G,3,27,300027,2014-04-23,None,CRWT153,16,G9
GEP2,1,H,3,226,300226,2014-03-11,None,Saracen,16,H1
GEP2,10,H,3,210,300210,2014-05-16,Full,Otane,16,H10
GEP2,11,H,3,50,300050,2014-05-16,Full,Saracen,16,H11
GEP2,12,H,3,195,300195,2014-05-16,None,CRWT153,16,H12
GEP2,2,H,3,196,300196,2014-03-18,None,CRWT153,16,H2
GEP2,3,H,3,147,300147,2014-03-25,None,Amarok,16,H3
GEP2,4,H,3,256,300256,2014-03-25,None,Batten Win,16,H4
GEP2,5,H,3,69,300069,2014-04-01,None,Amarok,16,H5
GEP2,6,H,3,42,300042,2014-04-09,None,CRWT153,16,H6
GEP2,7,H,3,271,300271,2014-04-09,None,CRWT153,16,H7
GEP2,8,H,3,61,300061,2014-04-23,None,Batten Win,16,H8
GEP2,9,H,3,92,300092,2014-04-23,None,Batten Win,16,H9
GEP3,1,A,2,NA,200001,NA,0d R1,Aspiring,16,A1
GEP3,10,A,2,NA,200073,NA,24 d R1,Saracen,16,A10
GEP3,11,A,2,NA,200081,NA,24 d R1,Aspiring,16,A11
GEP3,12,A,2,NA,200089,NA,24 d R1,Macro,16,A12
GEP3,2,A,2,NA,200009,NA,0d R2,Aspiring,16,A2
GEP3,3,A,2,NA,200017,NA,0d R3,Aspiring,16,A3
GEP3,4,A,2,NA,200025,NA,0d R4,Aspiring,16,A4
GEP3,5,A,2,NA,200033,NA,10 d R1,Batten W,16,A5
GEP3,6,A,2,NA,200041,NA,10 d R1,Wakanui,16,A6
GEP3,7,A,2,NA,200049,NA,10 d R1,Macro,16,A7
GEP3,8,A,2,NA,200057,NA,10 d R1,Saracen,16,A8
GEP3,9,A,2,NA,200065,NA,24 d R1,Consort,16,A9
GEP3,1,B,2,NA,200002,NA,0d R1,Wakanui,16,B1
GEP3,10,B,2,NA,200074,NA,24 d R2,Saracen,16,B10
GEP3,11,B,2,NA,200082,NA,24 d R2,Aspiring,16,B11
GEP3,12,B,2,NA,200090,NA,24 d R2,Macro,16,B12
GEP3,2,B,2,NA,200010,NA,0d R2,Wakanui,16,B2
GEP3,3,B,2,NA,200018,NA,0d R3,Wakanui,16,B3
GEP3,4,B,2,NA,200026,NA,0d R4,Wakanui,16,B4
GEP3,5,B,2,NA,200034,NA,10 d R2,Batten W,16,B5
GEP3,6,B,2,NA,200042,NA,10 d R2,Wakanui,16,B6
GEP3,7,B,2,NA,200050,NA,10 d R2,Macro,16,B7
GEP3,8,B,2,NA,200058,NA,10 d R2,Saracen,16,B8
GEP3,9,B,2,NA,200066,NA,24 d R2,Consort,16,B9
GEP3,1,C,2,NA,200003,NA,0d R1,Macro,16,C1
GEP3,10,C,2,NA,200075,NA,24 d R3,Saracen,16,C10
GEP3,11,C,2,NA,200083,NA,24 d R3,Aspiring,16,C11
GEP3,12,C,2,NA,200091,NA,24 d R3,Macro,16,C12
GEP3,2,C,2,NA,200011,NA,0d R2,Macro,16,C2
GEP3,3,C,2,NA,200019,NA,0d R3,Macro,16,C3
GEP3,4,C,2,NA,200027,NA,0d R4,Macro,16,C4
GEP3,5,C,2,NA,200035,NA,10 d R3,Batten W,16,C5
GEP3,6,C,2,NA,200043,NA,10 d R3,Wakanui,16,C6
GEP3,7,C,2,NA,200051,NA,10 d R3,Macro,16,C7
GEP3,8,C,2,NA,200059,NA,10 d R3,Saracen,16,C8
GEP3,9,C,2,NA,200067,NA,24 d R3,Consort,16,C9
GEP3,1,D,2,NA,200004,NA,0d R1,Consort,16,D1
GEP3,10,D,2,NA,200076,NA,24 d R4,Saracen,16,D10
GEP3,11,D,2,NA,200084,NA,24 d R4,Aspiring,16,D11
GEP3,12,D,2,NA,200092,NA,24 d R4,Macro,16,D12
GEP3,2,D,2,NA,200012,NA,0d R2,Consort,16,D2
GEP3,3,D,2,NA,200020,NA,0d R3,Consort,16,D3
GEP3,4,D,2,NA,200028,NA,0d R4,Consort,16,D4
GEP3,5,D,2,NA,200036,NA,10 d R4,Batten W,16,D5
GEP3,6,D,2,NA,200044,NA,10 d R4,Wakanui,16,D6
GEP3,7,D,2,NA,200052,NA,10 d R4,Macro,16,D7
GEP3,8,D,2,NA,200060,NA,10 d R4,Saracen,16,D8
GEP3,9,D,2,NA,200068,NA,24 d R4,Consort,16,D9
GEP3,1,E,2,NA,200005,NA,0d R1,Batten W,16,E1
GEP3,10,E,2,NA,200077,NA,24 d R1,Amarok,16,E10
GEP3,11,E,2,NA,200085,NA,24 d R1,Batten W,16,E11
GEP3,12,E,2,NA,200093,NA,24 d R1,Wakanui,16,E12
GEP3,2,E,2,NA,200013,NA,0d R2,Batten W,16,E2
