Plate,Name,sample_well,EGF1a,Ta54227,VRN1,VRN2,VRN3,Col,Row,Experiment,Plot_ID_Old,Plot_IDNew,SampleDate,Vern,Cult,Pp,is_repeat,VRN1_EGF,VRN1_Ta,VRN2_EGF,VRN2_Ta,VRN3_EGF,VRN3_Ta
GEP1,SCN291,H2,22.7266666666667,23.5633333333333,31.4,30.295,NA,2,H,3,291,300291,2014-02-04T00:00:00Z,none,Saracen,16,FALSE,0.00244943829990286,0.00437449845330765,0.00526871430263395,0.0094094970951937,0,0
GEP1,SCN309,B11,25.535,24.7566666666667,27.77,31.64,NA,11,B,3,309,300309,2014-03-04T00:00:00Z,none,Saracen,16,FALSE,0.212421249784663,0.123850076658153,0.0145282022283307,0.00847052242422981,0,0
GEP1,SCN312,G6,21.6833333333333,22.825,28.19,29.755,NA,6,G,3,312,300312,2014-02-18T00:00:00Z,none,Saracen,16,FALSE,0.0109976061252655,0.0242646523437825,0.00371694571453073,0.00820091159080522,0,0
GEP1,SCN326,A3,20.7166666666667,21.435,28.075,28.03,NA,3,A,3,326,300326,2014-02-11T00:00:00Z,none,Saracen,16,FALSE,0.00609425957822946,0.0100267648247102,0.00628734509715554,0.010344444612464,0,0
GEP1,SCN53,G3,22.12,22.895,32.095,29.725,NA,3,G,3,53,300053,2014-02-11T00:00:00Z,none,Saracen,16,FALSE,0.000993632511819031,0.00170029406893774,0.00513649515705106,0.00878951941163131,0,0
GEP1,SCN95,E12,21.56,22.68,27.77,NA,NA,12,E,3,95,300095,2014-03-11T00:00:00Z,none,Saracen,16,FALSE,0.0135083942391854,0.0293600859129378,0,0,0,0
GEP2,AMK117,B1,22.74,25.265,NA,31.33,NA,1,B,3,117,300117,2014-03-11T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00259508948065725,0.0149366455874022,0,0
GEP2,AMK153,D9,26.17,28.655,NA,31.4566666666667,NA,9,D,3,153,300153,2014-04-23T00:00:00Z,none,Amarok,16,FALSE,0,0,0.025618562449696,0.143421511605849,0,0
GEP2,AMK191,G2,28.28,28.525,NA,33.905,NA,2,G,3,191,300191,2014-03-18T00:00:00Z,none,Amarok,16,FALSE,0,0,0.020263118041422,0.0240136747076252,0,0
GEP2,AMK245,G11,24.26,25.745,27.755,NA,29.61,11,G,3,245,300245,2014-05-16T00:00:00Z,full,Amarok,16,FALSE,0.0886952097625236,0.248273123859258,0,0,0.0245182530592734,0.0686308008616905
GEP2,AMK268,C5,25.81,28.57,NA,NA,NA,5,C,3,268,300268,2014-03-25T00:00:00Z,none,Amarok,16,FALSE,0,0,0,0,0,0
