Name,Plate,sample_well,SampleDate,qPCR_well,Cp,gene,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,Vern,Cult,Pp,reason,exclude.all,exclude.VRN1,exclude.VRN2,exclude.Vrn3,exclude.EGF1a,exclude.Ta54227
AMK1139,GEP9,D1,2014-10-21,H1,NA,Ta54227,1,D,4,1139,401139,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A13,23.47,VRN1,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A14,NA,VRN1,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,B13,23.22,VRN1,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A13,NA,VRN2,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A14,NA,VRN2,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,B13,NA,VRN2,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A13,NA,VRN3,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A14,NA,VRN3,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,B13,NA,VRN3,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A13,20.84,EGF1a,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A14,NA,EGF1a,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,B13,20.99,EGF1a,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A13,21.81,Ta54227,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,A14,NA,Ta54227,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK114,GEP5,A7,2014-06-03,B13,21.99,Ta54227,7,A,3,114,300114,Full,Amarok,16,repeated,Y,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E1,NA,VRN1,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E2,31.1,VRN1,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,F1,30.41,VRN1,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E1,NA,VRN2,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E2,31.49,VRN2,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,F1,33.43,VRN2,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E1,NA,VRN3,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E2,NA,VRN3,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,F1,NA,VRN3,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E1,28.26,EGF1a,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E2,28.04,EGF1a,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,F1,27.83,EGF1a,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E1,29,Ta54227,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,E2,29.11,Ta54227,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1140,GEP9,C1,2014-10-21,F1,NA,Ta54227,1,C,4,1140,401140,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I23,NA,VRN1,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I24,29.3,VRN1,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,J23,28.92,VRN1,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I23,NA,VRN2,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I24,NA,VRN2,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,J23,NA,VRN2,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I23,NA,VRN3,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I24,NA,VRN3,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,J23,NA,VRN3,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I23,25.69,EGF1a,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I24,NA,EGF1a,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,J23,25.67,EGF1a,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I23,NA,Ta54227,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,I24,26.47,Ta54227,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1141,GEP7,E12,2014-09-30,J23,26.31,Ta54227,12,E,4,1141,401141,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I3,26.87,VRN1,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I4,26.76,VRN1,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,J3,26.83,VRN1,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I3,NA,VRN2,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I4,NA,VRN2,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,J3,NA,VRN2,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I3,NA,VRN3,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I4,NA,VRN3,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,J3,NA,VRN3,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I3,24.98,EGF1a,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,I4,25.26,EGF1a,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
AMK1142,GEP9,E2,2014-10-28,J3,25.1,EGF1a,2,E,4,1142,401142,Full,Amarok,8,NA,NA,NA,NA,NA,NA,NA
