"","Well","Sample_label","Sample_date","Ta","TaVRN2","VRN1","VRN3-3","deltaCT_VRN1","deltaCT_VRN2","deltaCT_VRN3"
"49","B4","BS",2,24.9522323608398,31.9670104980469,26.1839618682861,31.5844211578369,1.23172950744629,7.01477813720703,3.63218879699707
"50","B4","BS",5,25.5623092651367,NA,27.7403545379639,NA,2.17804527282715,NA,NA
"51","B4","BS",11,26.3212337493896,32.8073043823242,28.595344543457,30.4311847686768,2.27411079406738,6.48607063293457,1.10995101928711
"52","B4","BW",8,24.9112224578857,29.9841251373291,NA,NA,NA,5.07290267944336,NA
"53","B5","BS",2,25.0369243621826,31.604341506958,26.2823181152344,31.1215000152588,1.24539375305176,6.56741714477539,3.08457565307617
"54","B5","BS",5,25.5793437957764,31.4753131866455,27.4945812225342,30.4931125640869,1.91523742675781,5.89596939086914,1.91376876831055
"55","B5","BS",11,26.4365329742432,NA,28.8160858154297,30.6655597686768,2.37955284118652,NA,1.22902679443359
"56","B5","BW",8,24.9050636291504,29.8576850891113,NA,NA,NA,4.95262145996094,NA
"57","B6","BS",2,24.9523792266846,NA,26.1507415771484,31.5844478607178,1.19836235046387,NA,3.6320686340332
"58","B6","BS",5,25.6044139862061,31.5151233673096,27.6181316375732,30.7284107208252,2.01371765136719,5.91070938110352,2.12399673461914
"59","B6","BS",11,26.197566986084,33.3846435546875,28.7353324890137,30.5437335968018,2.53776550292969,7.18707656860352,1.34616661071777
"60","B6","BW",8,24.9512252807617,29.9807395935059,NA,NA,NA,5.02951431274414,NA
"61","B7","BS",6,25.9493045806885,32.9837989807129,27.6313934326172,31.867956161499,1.68208885192871,7.03449440002441,2.91865158081055
"62","B7","BW",3,26.0226669311523,30.7243251800537,NA,NA,NA,4.70165824890137,NA
"63","B7","BW",9,25.0897808074951,NA,NA,NA,NA,NA,NA
"64","B7","BW",12,27.1368942260742,33.7180824279785,NA,NA,NA,6.5811882019043,NA
"65","B8","BS",6,25.9380779266357,NA,27.2143325805664,31.9253482818604,1.27625465393066,NA,2.98727035522461
"66","B8","BW",3,26.1986827850342,31.0365238189697,NA,NA,NA,4.83784103393555,NA
"67","B8","BW",9,24.9736633300781,31.8694744110107,NA,NA,NA,6.89581108093262,NA
"68","B8","BW",12,27.3078136444092,NA,NA,NA,NA,NA,NA
"69","B9","BS",6,25.7601451873779,32.7362327575684,27.5008697509766,31.6509876251221,1.74072456359863,6.97608757019043,2.89084243774414
"70","B9","BW",3,26.2439804077148,30.745922088623,NA,NA,NA,4.5019416809082,NA
"71","B9","BW",9,25.1619338989258,31.6653652191162,NA,NA,NA,6.50343132019043,NA
"72","B9","BW",12,27.3645420074463,NA,NA,NA,NA,NA,NA
"73","C1","BS",1,26.9657764434814,NA,28.3173179626465,32.1125411987305,1.35154151916504,NA,2.14676475524902
