"plate","Genotype","Pot","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","Time","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3"
2,"BW","115",28.8928203582764,29.0637340545655,NA,NA,31.8996706008911,3,NA,NA,0.124407878581423,NA,NA,0.140054811632539
2,"BW","155",29.9140930175781,28.9337425231934,34.6660995483399,NA,31.773157119751,3,0.0371110715707909,NA,0.27565504252401,0.0188099910789064,NA,0.13971757406254
2,"BW","29",27.0001611709595,27.8860829671224,35.6853847503662,36.1872615814209,32.8802032470703,3,0.00242933374897793,0.00171556510211575,0.0169797370067784,0.00448927508443088,0.00317026990296726,0.0313776196114633
2,"BW","87",29.184237798055,29.3752587636312,NA,34.7736625671387,31.4067792892456,3,NA,0.0207689952018607,0.214263573854781,NA,0.0237092887813124,0.244597145815891
2,"OT","191",27.3402773539225,27.9525960286458,26.9290841420492,NA,27.7477232615153,3,1.32978518676101,NA,0.753956969615146,2.03286144320347,NA,1.15258469459896
2,"OT","40",24.8493086496989,26.3598117828369,25.177131652832,NA,26.7664365768432,3,0.796737837975182,NA,0.264781103870066,2.26998085518188,NA,0.754386208299671
2,"OT","58",25.8132972717285,27.0181846618652,26.5169995625814,NA,27.1931527455648,3,0.613994530498075,NA,0.384257287483168,1.41537574286709,NA,0.885787114882595
2,"OT","97",27.4127852121989,28.5616188049317,27.9615484873454,NA,27.6595869064331,3,0.683605886353228,NA,0.842762663553389,1.51579044499811,NA,1.86869601084054
2,"SCN","1",27.2203909556071,28.0870272318522,30.285618464152,34.9097785949707,34.964282989502,3,0.119474322482522,0.00484466411352039,0.00466504905193031,0.217850264153364,0.00883379235750963,0.00850628107474805
2,"SCN","136",26.9798889160156,27.7308648427327,30.1709566116333,33.246036529541,32.3516960144043,3,0.109494651442414,0.0129927658265947,0.0241504335959762,0.184271930370005,0.0218659268573608,0.0406435105220062
2,"SCN","153",27.0635706583659,27.8668460845947,33.2561607360839,34.8262901306152,33.6547260284424,3,0.0136723962262499,0.00460456481862632,0.0103720482289232,0.0238591316664666,0.0080352351158066,0.0180998312402401
2,"SCN","78",27.095890045166,28.4333737691244,31.8168195088704,33.7793795267741,33.6347904205322,3,0.037919152656967,0.00972902210927629,0.0107546145166802,0.0958255550806625,0.0245862282959571,0.0271780046105562
3,"BS","171",25.2024332682292,26.5838349660238,26.1069450378418,NA,26.7735919952393,4,0.534213459560781,NA,0.336537988975781,1.39174020361101,NA,0.876753366875256
3,"BS","6",25.681204477946,27.2489287058512,26.4698743820191,NA,27.5652173360189,4,0.578877543455264,NA,0.270929077035011,1.71600567482403,NA,0.803133303274952
3,"BS","93",29.119712193807,31.4317884445191,30.7515954971313,NA,31.0305795669555,4,0.322666721414016,NA,0.265932614265733,1.60235404118165,NA,1.3206140294956
3,"BS","99",25.0390459696452,26.9954096476237,26.665246963501,NA,27.4209575653076,4,0.323940107421424,NA,0.191855017981553,1.25715512842178,NA,0.744555904759234
3,"BW","107",26.4532737731934,27.9817606608073,NA,33.6917686462402,29.5389242172241,4,NA,0.00662210282130092,0.117794946758287,NA,0.0191036485984163,0.339818533517936
3,"BW","13",28.9059600830078,29.1880849202474,35.6301441192627,35.3797359466553,30.5996427536011,4,0.00945842683464551,0.0112512112724621,0.309136804242509,0.0115013004108941,0.0136812984963873,0.375905561867163
3,"BW","152",26.9061991373698,27.595511118571,35.5454177856445,34.6415481567383,29.429009437561,4,0.0025080491771428,0.00469275540133609,0.174003677198678,0.00404426523778294,0.0075671353305211,0.280583422906684
3,"BW","83",26.5718994140625,27.2811050415039,33.8197116851807,35.1228866577148,30.3072137832641,4,0.00657947291502238,0.00266622224244773,0.0750858897875043,0.0107568043715041,0.00435901651141089,0.122758196277453
3,"OT","125",25.8064034779867,26.9846261342367,26.3410053253174,NA,26.8958358764649,4,0.690349171870831,NA,0.469946229841255,1.56224509333207,NA,1.06347805083885
3,"OT","146",24.4373143513997,26.2029813130697,25.9243024190267,NA,27.0127290089925,4,0.356756577111932,NA,0.167773334716331,1.21308352972298,NA,0.570481617237927
3,"OT","27",24.0704650878906,25.7151578267415,25.4683246612549,NA,27.3538064956665,4,0.379491749778762,NA,0.102710714472643,1.18659957031245,NA,0.321157152245799
3,"OT","53",25.734543800354,27.3328444163005,26.9776922861735,NA,27.8483591079712,4,0.422449710376894,NA,0.231035218117191,1.27912045558727,NA,0.699543321241983
3,"SCN","126",27.0156364440918,28.1198685963948,30.3661251068115,35.8546085357666,30.7444543838501,4,0.0980397990436968,0.00218375679611044,0.0754247625754622,0.210770299382863,0.00469473701685591,0.162151493005672
3,"SCN","170",26.7751235961914,27.6491018931071,32.450969696045,32.7647533416748,29.8960386912028,4,0.0195614062770397,0.0157377188933375,0.114950520598098,0.0358503793992785,0.0288426703691329,0.210670936292728
3,"SCN","5",28.416543006897,28.9924348195394,34.3670825958252,34.5754928588867,30.7384042739868,4,0.01616996550162,0.0139949500505057,0.200009264514464,0.0241029279868418,0.0208608529939655,0.298133530266985
3,"SCN","50",30.5073121388753,31.1691551208496,31.4320017496745,NA,30.2067852020264,4,0.526793843058081,NA,1.23159416455872,0.83344180464591,NA,1.94850808646983
3,"BS","20",25.7632986704508,26.9970067342122,26.7034123738607,NA,27.4093284606934,5,0.52119180200915,NA,0.319518242993209,1.22569018676761,NA,0.751413152356393
3,"BS","86",26.5309060414632,27.5827992757161,27.571231842041,NA,29.0880451202393,5,0.486217659866028,NA,0.169912149567299,1.00805016375234,NA,0.352270154568269
4,"BS","109",26.4889154434204,27.8364264170329,27.677547454834,NA,27.1808223724365,5,0.438718664175785,NA,0.619035079253596,1.11641929381209,NA,1.57527536997674
4,"BS","172",24.9195067087809,26.5022500356038,25.8104654947917,NA,25.9321403503418,5,0.539255620736859,NA,0.495640628791971,1.61528030328323,NA,1.48463644032234
3,"BW","4",28.8823928833007,29.0676301320394,34.3300800323486,NA,29.2636651992798,5,0.022913042525874,NA,0.767760202555327,0.0260522195427094,NA,0.872946372378955
3,"BW","61",27.0601243972778,27.944299697876,35.6517143249512,NA,30.1662654876709,5,0.00259223112753435,NA,0.116133726264689,0.00478450494995667,NA,0.214349091895532
4,"BW","138",28.038125038147,28.5214729309082,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
4,"BW","166",25.2139320373535,27.038569132487,35.4611949920654,33.060562133789,34.9477157592774,5,0.000822747321645334,0.00434439170792681,0.0011744624293249,0.00291431823704835,0.0153886128221886,0.00416015608493848
3,"OT","12",25.2677574157715,26.8865820566813,26.7648919423421,NA,27.6711940765381,5,0.35425631434997,NA,0.189013782166592,1.08800871624497,NA,0.580508050689312
3,"OT","94",25.4632657368978,27.0425262451172,26.7573458353678,NA,27.0812708536784,5,0.407796105189522,NA,0.325785631880723,1.2185626360259,NA,0.97350169192871
4,"OT","129",25.3850224812826,26.9966481526693,27.0223236083984,NA,26.6441434224447,5,0.321457267554418,NA,0.417798453937795,0.98236055924036,NA,1.27677537354358
4,"OT","181",22.9796002705892,24.9511833190918,24.999054590861,NA,25.0560026168823,5,0.246651451030523,NA,0.237104944504051,0.96736264121985,NA,0.92992141097658
3,"SCN","36",27.0155868530273,27.900743484497,33.4655017852783,34.0543766021729,30.1434373855591,5,0.0114388439650662,0.00760524400346757,0.114399247502054,0.021127145966523,0.0140466205031719,0.211291421389915
3,"SCN","96",25.9651069641113,27.2621866861979,33.2930278778076,33.6584892272949,30.3087244033813,5,0.00622409193794231,0.00483126845991743,0.0492539268542643,0.0152945217788677,0.0118719230719128,0.121032154485872
4,"SCN","133",25.8735160827637,27.7414709726969,31.0764923095703,32.951976776123,33.0056762695312,5,0.027148640646313,0.0073989656001483,0.00712862632249076,0.0990965514677229,0.0270073181547152,0.0260205398297468
