"plate","Pot","Genotype","Time","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3"
"3","56","BS",7,23.5255823135376,25.1461957295736,27.213399887085,30.9107646942138,32.2657979329427,0.0775990298717531,0.00598189216757145,0.00233847606960111,0.238621483532273,0.0183946627388905,0.00719094851901052
"3","121","BS",7,24.3577709197998,25.3998311360677,27.6538111368815,31.9953622817994,30.422171274821,0.101810607235406,0.00502175944898709,0.014942855178424,0.209644952267989,0.0103406368803004,0.0307698210009177
"3","145","BS",7,24.3056068420411,25.5280017852783,27.5880641937256,33.5445556640625,30.7457809448242,0.102773672933555,0.00165500487039299,0.0115163383977132,0.239805656036496,0.00386168478132311,0.0268715032339789
"3","9","BS",8,24.6473814646403,25.501096089681,27.8532059987386,31.9799118041992,32.3336629867553,0.108380376259603,0.00620423763284115,0.00485510589450558,0.195859374984146,0.0112119753313157,0.00877389467353362
"3","77","BS",8,23.8754100799561,25.110580444336,28.1934274037679,31.5073528289794,32.5607719421387,0.0501357208661211,0.00504145978638634,0.00242910090772903,0.118024071680579,0.0118680573635732,0.00571832567080735
"3","113","BS",8,23.7274367014567,24.9507681528727,27.5581264495849,32.9700279235839,31.2085278828939,0.070282545387275,0.00165083171778586,0.00559715268347329,0.164099381148962,0.00385444866541196,0.0130685262819254
"3","167","BS",8,23.9714577992757,25.878381729126,27.8314310709636,32.9248447418213,32.451358795166,0.0688703456675489,0.00201726042022855,0.00280088604636503,0.258269763645602,0.00756490136493601,0.0105035653615692
"3","19","BS",9,24.4426587422689,25.6116873423259,28.5833676656087,31.9969501495361,29.0901610056559,0.0566920825404992,0.00532024571281648,0.03989903700811,0.127477954194944,0.0119631174035593,0.0897170713125377
"3","85","BS",9,23.5843912760417,25.3448333740234,28.2862745920817,31.8688983917237,32.1002349853516,0.0384230721017513,0.00320711740627349,0.00273196798135606,0.130178110289329,0.0108657757068225,0.00925596027933628
"3","110","BS",9,23.6478010813395,25.1438477834066,28.0056393941243,31.952070236206,31.0895773569743,0.0487708080971757,0.00316348582144841,0.00575177806191969,0.137567195552719,0.00892320405600677,0.0162239669238896
"3","187","BS",9,24.5931142171224,26.0925896962484,29.066037495931,33.1285362243652,32.4218254089356,0.045031449318445,0.00269514385057296,0.00439868744716304,0.127321873868305,0.00762024697390837,0.0124368444011948
"4","2","BS",10,25.6701631546021,27.0480651855469,30.226022084554,35.9249153137207,30.3080749511719,0.042515746222147,0.000818487407244356,0.0401651535863653,0.11049424238579,0.00212716826121858,0.104385283340564
"4","89","BS",10,23.5426921844482,25.2504450480143,28.5257129669189,32.9847221374512,32.5526065826416,0.031619957033496,0.00143769169565195,0.00193974887105807,0.103287106825277,0.0046962434387027,0.00633622141380358
"4","118","BS",10,24.5560423533122,26.3587061564128,29.131467183431,33.3797969818116,32.3029670715332,0.0419430379352587,0.00220691284510693,0.00465525296798976,0.146324065799897,0.00769911947867281,0.0162404912742546
"4","174","BS",10,24.0880661010742,25.642199198405,28.5251738230388,35.8376216888427,29.8989270528158,0.0461633674699824,0.00029042321739733,0.0178137992132477,0.135562060466996,0.00085284873949971,0.0523115071200876
"4","42","BS",11,23.9338442484538,26.3184445699056,28.8920752207438,33.0959739685058,30.5468260447185,0.0321679771729304,0.00174551718983956,0.010216311317696,0.167980928067451,0.00911507726863468,0.053349498706332
"4","49","BS",11,23.7283178965251,26.0842609405518,28.9395008087158,34.3507194519043,28.9338150024414,0.026994645621271,0.000634363966314794,0.0271012441548061,0.138193353183236,0.0032474915534576,0.138739061728564
"4","104","BS",11,24.0293464660645,26.0897986094157,29.4395999908447,35.7265739440918,33.2212772369385,0.0235153477134478,0.000301150551620448,0.00170983073673295,0.0980865150647273,0.00125615017384487,0.00713199482994594
"4","175","BS",11,24.1380869547526,26.2199230194091,29.4474258422851,33.7578220367432,33.6708221435547,0.025219108940556,0.00127107503819047,0.00135008392858402,0.106764000641196,0.00538104088103376,0.00571552158154227
"4","14","BS",12,24.933533668518,26.7965660095215,31.0663499832153,35.8311290740967,35.8669509887695,0.0142507700173166,0.0005241998620385,0.000511344314481645,0.051840233486444,0.00190688946692823,0.00186012465449117
"4","60","BS",12,27.9940929412842,29.6695327758789,32.041716893514,NA,34.362190246582,0.0604705305807431,NA,0.0121063073608851,0.193152985535283,NA,0.0386695699228307
"4","134","BS",12,25.0407152175903,27.3731028238932,29.5312986373902,35.785472869873,31.0472431182861,0.0444835760037565,0.000582781357204334,0.0155544597735081,0.224036264930086,0.00293510932052584,0.0783381954357212
"4","180","BS",12,24.8830623626709,26.9824155171712,29.5872869491577,33.4158706665039,30.6211185455322,0.038360767979598,0.00270003101753927,0.0187358315094442,0.164382493574619,0.0115700976484093,0.0802862628911482
"1","28","BW",1,26.8314456939697,27.7532393137614,33.580774307251,32.4801534016927,NA,0.0092950051944214,0.0199328566389123,NA,0.0176091002597993,0.0377621812658559,NA
"1","65","BW",1,26.5555419921875,27.6331278483073,35.5238494873047,31.9765768051147,NA,0.00199650514463951,0.0233402720485618,NA,0.00421362710676882,0.049259679218576,NA
